0 | Green_light | 5 | 89040500805
1 | Luxury | 1 | 89189660468
2 | Young | 5 | 89707601584
3 | Luxury | 3 | 89056380741
4 | Spectr | 1 | 89818007056
5 | Green_light | 4 | 89034410032
6 | R-auto | 3 | 89191820203
7 | Priority | 3 | 89478407350
8 | Green_light | 1 | 89094353408
9 | Start | 4 | 89510637190
10 | Green_light | 3 | 89115716015
11 | Green_light | 1 | 89772374499
12 | Luxury | 1 | 89806331676
13 | Green_light | 2 | 89666095126
14 | Start | 5 | 89243987851
15 | Luxury | 1 | 89925944221
16 | Priority | 4 | 89938076070
17 | DOSAAF | 5 | 89450235824
18 | R-auto | 5 | 89799993054
19 | DOSAAF | 3 | 89546197429
20 | Green_light | 1 | 89601149842
21 | Luxury | 1 | 89390563413
22 | Neva | 1 | 89591328270
23 | Unit | 2 | 89940289837
24 | Autoprava.pro | 2 | 89819823162
25 | Spectr | 5 | 89806597035
26 | East | 4 | 89115574523
27 | Autoprava.pro | 4 | 89121136720
28 | Green_light | 2 | 89478150650
29 | East | 2 | 89730993200
30 | Young | 4 | 89317597766
31 | R-auto | 1 | 89744779297
32 | DOSAAF | 4 | 89625167257
33 | DOSAAF | 2 | 89170803036
34 | Unit | 1 | 89976216834
35 | Start | 5 | 89726943507
36 | Autoprava.pro | 3 | 89149208250
37 | Luxury | 1 | 89215796927
38 | Young | 4 | 89906523964
39 | Luxury | 3 | 89696288970
40 | Start | 5 | 89317341713
41 | Neva | 4 | 89672120785
42 | Autoprava.pro | 5 | 89891908592
43 | R-auto | 5 | 89300232841
44 | Neva | 4 | 89197124362
45 | Mask | 4 | 89995892907
46 | Luxury | 4 | 89774036636
47 | DOSAAF | 3 | 89639447742
48 | Young | 2 | 89157639578
49 | Young | 4 | 89564194812
50 | Green_light | 1 | 89427566202
51 | Young | 4 | 89038066799
52 | Unit | 3 | 89417965145
53 | Autoprava.pro | 2 | 89020459472
54 | R-auto | 3 | 89120098492
55 | Mask | 1 | 89040821286
56 | Young | 3 | 89669916901
57 | DOSAAF | 1 | 89358048939
58 | Mask | 2 | 89777716304
59 | Start | 1 | 89222218306
60 | Young | 4 | 89939566645
61 | Unit | 3 | 89460892939
62 | R-auto | 1 | 89957809319
63 | Unit | 4 | 89636934159
64 | Young | 3 | 89360481269
65 | Mask | 3 | 89338152735
66 | Unit | 2 | 89059540971
67 | Unit | 2 | 89825447937
68 | Priority | 5 | 89668605510
69 | Neva | 1 | 89485001278
70 | Green_light | 3 | 89948614988
71 | Green_light | 5 | 89256697237
72 | East | 3 | 89016986648
73 | Unit | 3 | 89599952825
74 | Autoprava.pro | 1 | 89237758268
75 | DOSAAF | 5 | 89415026644
76 | Unit | 5 | 89041633297
77 | Start | 1 | 89481337916
78 | Start | 1 | 89153549803
79 | Start | 1 | 89051032765
80 | Unit | 4 | 89983886360
81 | Start | 3 | 89715376081
82 | Mask | 5 | 89928593279
83 | Young | 1 | 89263967237
84 | Unit | 5 | 89808704271
